Video,Config,Size_KB,Ratio,MSE,Enc_FPS,Dec_FPS
01_ideal_motion.mp4,V7 Dynamic Boxing,6.97,0.086,0.59,87.5,180.7
02_ideal_cache.mp4,V7 Dynamic Boxing,7.60,0.103,0.38,79.1,151.1
03_ideal_palette.mp4,V7 Dynamic Boxing,3.54,0.049,0.09,86.6,129.5
04_ideal_baseline.mp4,V7 Dynamic Boxing,3.91,0.015,0.10,56.4,170.5
05_break_entropy.mp4,V7 Dynamic Boxing,25271.05,3.401,0.00,200.5,292.3
06_break_jitter.mp4,V7 Dynamic Boxing,7.71,0.079,4.94,56.5,127.1
07_break_fade.mp4,V7 Dynamic Boxing,9.58,0.131,2.93,62.0,139.0
08_break_moire.mp4,V7 Dynamic Boxing,2.78,0.004,1.01,80.9,160.3
09_scaling_ui.mp4,V7 Dynamic Boxing,12.59,0.122,22.28,46.2,114.6
ball.mp4,V7 Dynamic Boxing,153.69,1.507,3.63,8.1,14.2
countdown.mp4,V7 Dynamic Boxing,2064.92,1.359,4.99,2.5,12.2
