Video,Config,Frame_Index,MSE
03_ideal_palette.mp4,V5 Hybrid Arena,7,0.0386
03_ideal_palette.mp4,V5 Hybrid Arena,8,0.0386
03_ideal_palette.mp4,V5 Hybrid Arena,9,0.0386
03_ideal_palette.mp4,V5 Hybrid Arena,10,0.0386
03_ideal_palette.mp4,V5 Hybrid Arena,11,0.0386
03_ideal_palette.mp4,V5 Hybrid Arena,12,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,13,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,14,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,15,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,16,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,17,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,18,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,19,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,20,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,21,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,22,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,23,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,24,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,25,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,26,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,27,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,28,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,29,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,30,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,31,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,32,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,33,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,34,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,35,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,36,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,37,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,38,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,39,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,40,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,41,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,42,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,43,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,44,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,45,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,46,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,47,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,48,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,49,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,50,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,51,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,52,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,53,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,54,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,55,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,56,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,57,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,58,0.2554
